Date,Close
5/29/2018,70.92
5/30/2018,72.23
5/31/2018,72.23
6/1/2018,72.76
6/4/2018,73.83
6/5/2018,74.05
6/6/2018,74.75
6/7/2018,74.76
6/8/2018,74.9
6/11/2018,74.59
6/12/2018,74.29
6/13/2018,74.11
6/14/2018,74.7
6/15/2018,75.84
6/18/2018,75.61
6/19/2018,74.26
6/20/2018,74.72
6/21/2018,73.94
6/22/2018,73.43
6/25/2018,72.35
6/26/2018,72.56
6/27/2018,71.35
6/28/2018,71.7
6/29/2018,79.68
7/2/2018,78.35
7/3/2018,76.28
7/5/2018,76.55
7/6/2018,76.48
7/9/2018,77.28
7/10/2018,77.57
7/11/2018,77.36
7/12/2018,77.37
7/13/2018,77.38
7/16/2018,77.75
7/17/2018,77.47
7/18/2018,76.59
7/19/2018,76.95
7/20/2018,76.96
7/23/2018,76.59
7/24/2018,75.53
7/25/2018,77.16
7/26/2018,78.15
7/27/2018,76.89
7/30/2018,75.96
7/31/2018,76.91
8/1/2018,77.54
8/2/2018,78.65
8/3/2018,78.74
8/6/2018,79.51
8/7/2018,80.53
8/8/2018,80.5
8/9/2018,81.26
8/10/2018,80.73
8/13/2018,80.15
8/14/2018,80.14
8/15/2018,79.57
8/16/2018,80.05
8/17/2018,79.75
8/20/2018,82.18
8/21/2018,82.95
8/22/2018,82.64
8/23/2018,82.91
8/24/2018,82.45
8/27/2018,82.65
8/28/2018,82.58
8/29/2018,82.79
8/30/2018,81.4
8/31/2018,82.2
9/4/2018,79.6
9/5/2018,79.92
9/6/2018,80.4
9/7/2018,80.3
9/10/2018,82.1
9/11/2018,82.63
9/12/2018,83
9/13/2018,83.47
9/14/2018,83.49
9/17/2018,83.26
9/18/2018,85.26
9/19/2018,84.43
9/20/2018,85.37
9/21/2018,85.55
9/24/2018,84.27
9/25/2018,84.79
9/26/2018,83.7
9/27/2018,84.54
9/28/2018,84.72
10/1/2018,84.46
10/2/2018,82.77
10/3/2018,82.5
10/4/2018,80.18
10/5/2018,80.12
10/8/2018,80.23
10/9/2018,80.42
10/10/2018,74.94
10/11/2018,74.51
10/12/2018,75.91
10/15/2018,74.99
10/16/2018,77.48
10/17/2018,76.48
10/18/2018,75.6
10/19/2018,74.21
10/22/2018,74.9
10/23/2018,73.35
10/24/2018,72.12
10/25/2018,73.1
10/26/2018,72.07
10/29/2018,72.19
10/30/2018,74.51
10/31/2018,75.04
11/1/2018,76.79
11/2/2018,76.58
11/5/2018,77.53
11/6/2018,76.57
11/7/2018,77.97
11/8/2018,77.78
11/9/2018,76.36
11/12/2018,75.1
11/13/2018,75.2
11/14/2018,75.2
11/15/2018,74.33
11/16/2018,74.74
11/19/2018,72.52
11/20/2018,71.12
11/21/2018,72.37
11/23/2018,71.49
11/26/2018,72.71
11/27/2018,72.09
11/28/2018,74.66
11/29/2018,74.34
11/30/2018,75.12
12/3/2018,77.94
12/4/2018,75.79
12/6/2018,75.54
12/7/2018,73.34
12/10/2018,72.51
12/11/2018,73.57
12/12/2018,74.32
12/13/2018,72.93
12/14/2018,72.53
12/17/2018,69.9
12/18/2018,71.15
12/19/2018,68.97
12/20/2018,67.53
12/21/2018,72.37
12/24/2018,68.1
12/26/2018,73.01
