,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,mcd,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,McDonald's Corp,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,248.80,,+4.62,+1.89%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"185,915M",25.68,0.58,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,mcd,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Apr 29, 2021",233.99,235.80,232.62,235.21,"3,146,671"
,"Apr 30, 2021",234.00,236.29,233.87,236.08,"2,640,589"
,"May 3, 2021",237.99,238.18,235.38,235.56,"2,458,195"
,"May 4, 2021",234.63,236.13,233.24,233.86,"2,529,912"
,"May 5, 2021",234.12,235.35,232.52,235.04,"1,524,055"
,"May 6, 2021",235.54,235.65,233.17,234.86,"1,832,704"
,"May 7, 2021",235.00,235.72,233.99,234.84,"1,406,816"
,"May 10, 2021",235.10,237.92,235.10,237.11,"2,031,468"
,"May 11, 2021",237.74,237.80,232.20,233.86,"3,028,848"
,"May 12, 2021",232.11,233.57,227.57,227.94,"3,198,197"
,"May 13, 2021",228.00,231.08,227.88,229.77,"2,819,534"
,"May 14, 2021",230.71,232.64,230.47,231.72,"1,943,122"
,"May 17, 2021",230.81,232.30,230.25,231.68,"1,630,923"
,"May 18, 2021",231.89,233.25,231.65,231.93,"2,913,221"
,"May 19, 2021",230.23,230.62,228.18,230.15,"2,967,215"
,"May 20, 2021",230.72,234.02,230.56,232.18,"1,890,474"
,"May 21, 2021",232.42,233.40,230.31,231.24,"2,601,267"
,"May 24, 2021",231.52,232.65,231.02,231.91,"1,823,438"
,"May 25, 2021",232.17,232.77,230.71,232.14,"2,682,023"
,"May 26, 2021",233.79,233.79,232.16,232.35,"1,564,344"
,"May 27, 2021",233.01,235.08,232.40,234.86,"5,243,094"
,"May 28, 2021",234.13,234.41,232.45,233.89,"2,853,674"
,"Jun 1, 2021",235.98,235.99,232.74,233.24,"2,574,575"
,"Jun 2, 2021",233.97,234.33,232.81,233.78,"3,172,033"
,"Jun 3, 2021",232.57,232.76,230.15,232.45,"3,249,444"
,"Jun 4, 2021",233.44,233.80,232.07,233.38,"1,615,437"
,"Jun 7, 2021",234.00,234.07,231.16,231.69,"1,877,063"
,"Jun 8, 2021",231.50,233.98,231.34,232.64,"2,106,462"
,"Jun 9, 2021",232.98,234.32,231.45,231.47,"1,982,276"
,"Jun 10, 2021",232.05,234.90,231.93,234.59,"2,534,059"
,"Jun 11, 2021",235.00,237.50,234.71,236.93,"2,654,270"
,"Jun 14, 2021",237.18,237.77,234.81,236.98,"1,836,842"
,"Jun 15, 2021",237.53,237.81,235.66,236.35,"1,948,582"
,"Jun 16, 2021",237.21,237.28,233.78,235.58,"2,951,814"
,"Jun 17, 2021",235.08,236.27,233.28,233.88,"1,895,716"
,"Jun 18, 2021",231.47,232.89,228.82,229.62,"4,408,221"
,"Jun 21, 2021",230.63,233.23,229.47,232.90,"2,193,090"
,"Jun 22, 2021",233.49,234.86,232.43,233.88,"1,758,423"
,"Jun 23, 2021",233.30,234.45,232.70,233.24,"1,701,512"
,"Jun 24, 2021",234.10,235.16,232.74,233.33,"1,840,079"
,"Jun 25, 2021",232.74,233.41,232.34,232.42,"3,000,115"
,"Jun 28, 2021",232.67,232.75,230.01,231.09,"2,902,037"
,"Jun 29, 2021",231.53,231.71,230.05,230.37,"1,932,185"
,"Jun 30, 2021",230.92,232.25,230.60,230.99,"2,450,791"
,"Jul 1, 2021",231.41,232.40,230.75,232.27,"2,210,460"
,"Jul 2, 2021",233.08,234.11,232.44,233.63,"1,851,575"
,"Jul 6, 2021",233.66,233.90,231.00,232.75,"1,762,707"
,"Jul 7, 2021",231.92,234.99,231.72,234.63,"2,069,409"
,"Jul 8, 2021",232.95,233.83,231.94,232.84,"1,932,661"
,"Jul 9, 2021",234.07,236.23,233.06,235.68,"2,560,714"
,"Jul 12, 2021",234.59,236.24,234.50,235.61,"2,158,655"
